giorno,mese,anno,stagione,animale,Altacq,quadr,dist,bosco,tmina,tmaxa,tmeda,tminr,tmaxr,tmediar,deltmin,deltmac,deltmed,altcmin,altcmax,altcmed,delqmed,delqmax,delqmin,oreluce,activore
18,6,2010,3,5988,950,87,3,2,10.1,16.2,13.2,22,28,24.7,11.9,11.8,11.5,1,1,1,3,3,3,15.28,
19,6,2010,3,5988,950,87,3,2,11.1,13.7,12.4,21,26,23.1,9.9,12.3,10.7,1,1,1,3,3,3,15.29,
20,6,2010,3,5988,950,87,3,2,9.2,13,11.1,20,27,22.9,10.8,14.0,11.8,1,1,1,3,3,3,15.29,
21,6,2010,3,5988,950,87,3,2,8.7,9.3,9,19,26,22.8,10.3,16.7,13.8,1,1,1,3,3,3,15.29,
22,6,2010,3,5988,950,87,3,2,10.2,14,12.1,19,34,24.6,8.8,20.0,12.5,1,1,1,3,3,3,15.29,
23,6,2010,3,5988,950,87,3,2,12,18.3,15.2,21,30,24.3,9.0,11.7,9.1,1,1,1,3,3,3,15.29,
24,6,2010,3,5988,950,86,2,2,12.3,20.7,16.5,19,31,25.4,6.7,10.3,8.9,1,1,1,3,3,3,15.29,
25,6,2010,3,5988,950,96,3,2,14,20.3,17.2,20,32,25.8,6.0,11.7,8.6,1,1,1,3,3,3,15.29,
26,6,2010,3,5988,950,97,3,2,15.2,22.1,18.7,21,29,24.8,5.8,6.9,6.1,1,1,1,3,3,3,15.29,
27,6,2010,3,5988,950,86,2,2,16,22.7,19.4,21,32,26.2,5.0,9.3,6.8,1,1,1,3,3,3,15.28,
28,6,2010,3,5988,950,87,3,2,16,24,20,21,35,27.2,5.0,11.0,7.2,1,1,1,3,3,3,15.28,
