giorno,mese,anno,stagione,animale,Altacq,quadr,dist,bosco,tmina,tmaxa,tmeda,tminr,tmaxr,tmediar,deltmin,deltmac,deltmed,altcmin,altcmax,altcmed,delqmed,delqmax,delqmin,oreluce,activore
21,3,2009,2,5989,950,49,3,1,-3.8,1.9,-1,7,20,11.7,10.8,18.1,12.7,2,2,1,2,2,3,12.12,
22,3,2009,2,5989,950,49,3,2,-3.2,8.9,2.9,7,33,15.5,10.2,24.1,12.6,1,1,1,3,3,3,12.15,
23,3,2009,2,5989,950,49,3,2,3,12,7.5,4,22,13.5,1.0,10.0,6.0,1,1,1,3,3,3,12.18,
24,3,2009,2,5989,950,49,3,1,-1.3,6.4,2.6,7,21,13.5,8.3,14.6,10.9,1,2,1,3,2,3,12.21,
25,3,2009,2,5989,950,39,3,1,-0.9,7.4,3.3,4,23,14.3,4.9,15.6,11.0,1,1,1,3,3,3,12.24,
26,3,2009,2,5989,950,49,3,1,2.6,12.4,7.5,9,29,15.8,6.4,16.6,8.3,1,1,1,3,3,3,12.28,
27,3,2009,2,5989,950,49,3,1,3.2,7.1,5.2,10,19,14.3,6.8,11.9,9.1,1,2,1,3,2,3,12.31,
28,3,2009,2,5989,950,49,3,2,4.1,6.6,5.4,16,21,17.7,11.9,14.4,12.3,1,1,1,3,3,3,12.33,
29,3,2009,2,5989,950,49,3,2,6.1,10.6,8.4,16,19,17.4,9.9,8.4,9.0,1,1,1,3,3,3,12.36,
30,3,2009,2,5989,950,49,3,2,6.5,10.5,8.5,15,29,19.5,8.5,18.5,11.0,1,2,1,3,2,3,12.39,
31,3,2009,2,5989,950,39,3,1,5.1,7.5,6.3,15,23,18.3,9.9,15.5,12.0,1,1,1,3,3,3,12.43,
1,4,2009,2,5989,950,49,3,1,5.1,8.1,6.6,14,27,18.8,8.9,18.9,12.2,1,1,1,3,3,3,12.46,
2,4,2009,2,5989,950,49,3,1,4.5,11.6,8.1,15,33,20.7,10.5,21.4,12.6,1,1,1,3,3,3,12.48,
3,4,2009,2,5989,950,49,3,2,2.8,14.1,8.5,13,38,20.2,10.2,23.9,11.7,1,2,1,3,2,3,12.51,
4,4,2009,2,5989,950,39,3,1,6.1,11.4,8.8,12,25,19.0,5.9,13.6,10.2,1,1,1,3,3,3,12.55,
5,4,2009,2,5989,950,49,3,2,5.6,14.7,10.2,12,33,20.8,6.4,18.3,10.6,1,1,1,3,3,3,12.58,
6,4,2009,2,5989,950,39,3,1,7.1,17,12.1,13,32,20.3,5.9,15.0,8.2,1,1,1,3,3,3,13.01,
7,4,2009,2,5989,950,49,3,2,8.7,14.8,11.8,15,32,22.2,6.3,17.2,10.4,1,2,1,3,2,3,13.03,
8,4,2009,2,5989,950,49,3,2,6.8,14.6,10.7,14,32,20.2,7.2,17.4,9.5,1,1,1,3,3,3,13.06,
9,4,2009,2,5989,950,39,3,1,7.9,18.3,13.1,15,30,20.3,7.1,11.7,7.2,1,1,1,3,3,3,13.10,
10,4,2009,2,5989,950,39,3,2,7.1,17.3,12.2,16,35,22.6,8.9,17.7,10.4,1,1,1,3,3,3,13.13,
11,4,2009,2,5989,950,49,3,1,7.1,14.8,11,16,28,21.4,8.9,13.2,10.4,1,1,1,3,3,3,13.15,
12,4,2009,2,5989,950,39,3,2,7,14.9,11,15,27,20.7,8.0,12.1,9.7,1,1,1,3,3,3,13.18,
13,4,2009,2,5989,950,39,3,1,6.4,17.1,11.8,15,34,21.7,8.6,16.9,9.9,1,1,1,3,3,3,13.21,
14,4,2009,2,5989,950,39,3,2,6.3,18.3,12.3,13,31,21.2,6.7,12.7,8.9,1,1,1,3,3,3,13.25,
15,4,2009,2,5989,950,39,3,1,9.1,17.7,13.4,14,35,22.0,4.9,17.3,8.6,1,1,1,3,3,3,13.27,
16,4,2009,2,5989,950,49,3,2,5.6,11.5,8.6,13,33,19.4,7.4,21.5,10.8,1,1,1,3,3,3,13.30,
17,4,2009,2,5989,950,49,3,2,5,9.1,7.1,15,28,20.1,10.0,18.9,13.0,1,1,1,3,3,3,13.33,
18,4,2009,2,5989,950,39,3,2,4.2,10.1,7.2,14,33,21.5,9.8,22.9,14.3,1,1,1,3,3,3,13.35,
19,4,2009,2,5989,950,49,3,2,5.2,7.6,6.4,17,29,20.7,11.8,21.4,14.3,1,1,1,3,3,3,13.39,
20,4,2009,2,5989,950,49,3,2,5.8,13.5,9.7,18,29,22.7,12.2,15.5,13.0,1,1,1,3,3,3,13.42,
21,4,2009,2,5989,950,49,3,2,7,10.2,8.6,19,27,21.3,12.0,16.8,12.7,2,2,1,2,2,3,13.44,
22,4,2009,2,5989,950,49,3,2,7.5,15.7,11.6,16,41,23.4,8.5,25.3,11.8,1,1,1,3,3,3,13.47,
23,4,2009,2,5989,950,49,3,2,3,16.7,9.9,15,42,21.9,12.0,25.3,12.0,1,1,1,3,3,3,13.49,
24,4,2009,2,5989,950,49,3,2,2.8,12,7.4,15,31,21.1,12.2,19.0,13.7,1,1,1,3,3,3,13.53,
25,4,2009,2,5989,950,49,3,2,4.3,15.7,10,13,29,21.5,8.7,13.3,11.5,1,1,1,3,3,3,13.55,
26,4,2009,2,5989,950,49,3,2,8,11.2,9.6,18,23,20.1,10.0,11.8,10.5,1,2,1,3,2,3,13.58,
27,4,2009,2,5989,950,49,3,2,8.5,15.1,11.8,18,28,21.4,9.5,12.9,9.6,1,1,1,3,3,3,14.01,
28,4,2009,2,5989,950,39,3,2,6.7,12.3,9.5,17,27,21.7,10.3,14.7,12.2,1,1,1,3,3,3,14.04,
29,4,2009,2,5989,950,49,3,1,3.2,7.2,5.2,16,20,18.3,12.8,12.8,13.1,1,1,1,3,3,3,14.07,
30,4,2009,2,5989,950,49,3,2,3.3,11.2,7.3,16,28,21.1,12.7,16.8,13.8,1,1,1,3,3,3,14.09,
1,5,2009,2,5989,950,49,3,2,5.9,16.6,11.3,14,35,22.0,8.1,18.4,10.7,1,1,1,3,3,3,14.11,
2,5,2009,2,5989,950,39,3,2,6.8,19.7,13.3,14,29,22.1,7.2,9.3,8.8,1,1,1,3,3,3,14.14,
3,5,2009,2,5989,950,49,3,2,6.3,15.8,11.1,15,32,22.1,8.7,16.2,11.0,1,1,1,3,3,3,14.16,
4,5,2009,2,5989,950,39,3,1,7.2,18.1,12.7,15,27,20.9,7.8,8.9,8.2,1,1,1,3,3,3,14.20,
5,5,2009,2,5989,950,49,3,2,6.7,13.6,10.2,14,33,22.5,7.3,19.4,12.3,1,1,1,3,3,3,14.22,
6,5,2009,2,5989,950,49,3,2,5.6,16.3,11,16,33,23.0,10.4,16.7,12.0,1,1,1,3,3,3,14.24,
7,5,2009,2,5989,950,39,3,1,9.9,19.4,14.7,16,38,22.8,6.1,18.6,8.1,1,1,1,3,3,3,14.27,
8,5,2009,2,5989,950,39,3,1,11.1,16.6,13.9,13,37,22.4,1.9,20.4,8.5,1,1,1,3,3,3,14.29,
9,5,2009,2,5989,950,39,3,1,11.1,18.1,14.6,16,29,21.8,4.9,10.9,7.2,1,1,1,3,3,3,14.31,
10,5,2009,2,5989,950,39,3,2,11.7,19,15.4,16,30,22.7,4.3,11.0,7.3,1,1,1,3,3,3,14.34,
11,5,2009,2,5989,950,39,3,1,11.2,19.1,15.2,14,29,21.8,2.8,9.9,6.6,1,1,1,3,3,3,14.37,
12,5,2009,2,5989,950,49,3,2,12.1,19,15.6,18,34,24.3,5.9,15.0,8.7,1,1,1,3,3,3,14.39,
13,5,2009,2,5989,950,49,3,2,12.7,19.6,16.2,18,28,23.3,5.3,8.4,7.1,1,1,1,3,3,3,14.41,
14,5,2009,2,5989,950,39,3,2,11.4,18.4,14.9,16,34,23.2,4.6,15.6,8.3,1,1,1,3,3,3,14.43,
15,5,2009,2,5989,950,39,3,1,11.2,16.3,13.8,19,30,23.3,7.8,13.7,9.5,1,1,1,3,3,3,14.45,
16,5,2009,2,5989,950,49,3,2,10,20.9,15.5,21,29,24.3,11.0,8.1,8.8,1,2,1,3,2,3,14.47,
17,5,2009,2,5989,950,39,3,2,12.4,23.1,17.8,19,30,25.1,6.6,6.9,7.3,1,1,1,3,3,3,14.49,
18,5,2009,2,5989,950,49,3,1,14.2,22,18.1,19,29,23.8,4.8,7.0,5.7,1,1,1,3,3,3,14.51,
19,5,2009,2,5989,950,39,3,2,14.3,21.9,18.1,17,29,22.7,2.7,7.1,4.6,1,1,1,3,3,3,14.54,
20,5,2009,2,5989,950,49,3,1,14.8,24.5,19.7,14,29,23.1,-0.8,4.5,3.4,1,1,1,3,3,3,14.56,
21,5,2009,2,5989,950,39,3,1,15.4,24.3,19.9,16,30,23.7,0.6,5.7,3.8,1,1,1,3,3,3,14.58,
22,5,2009,2,5989,950,49,3,1,16.3,20.7,18.5,18,32,24.0,1.7,11.3,5.5,1,1,1,3,3,3,15.00,
23,5,2009,2,5989,950,39,3,2,16,22.4,19.2,20,30,24.4,4.0,7.6,5.2,1,1,1,3,3,3,15.02,
24,5,2009,2,5989,950,39,3,2,16.3,26.4,21.4,21,30,25.7,4.7,3.6,4.3,1,1,1,3,3,3,15.04,
25,5,2009,2,5989,950,49,3,2,19.6,28,23.8,18,38,26.4,-1.6,10.0,2.6,1,1,1,3,3,3,15.05,
26,5,2009,2,5989,950,49,3,1,16.8,24.7,20.8,18,33,25.0,1.2,8.3,4.2,1,1,1,3,3,3,15.07,
27,5,2009,2,5989,950,39,3,1,9.2,21.9,15.6,18,30,23.6,8.8,8.1,8.0,1,1,1,3,3,3,15.08,
28,5,2009,2,5989,950,39,3,1,8.7,18.3,13.5,16,29,22.6,7.3,10.7,9.1,1,1,1,3,3,3,15.10,
29,5,2009,2,5989,950,39,3,1,7.8,20.4,14.1,15,29,22.6,7.2,8.6,8.5,1,1,1,3,3,3,15.11,
30,5,2009,2,5989,950,39,3,1,6,17.7,11.9,13,27,21.9,7.0,9.3,10.0,1,1,1,3,3,3,15.13,
31,5,2009,2,5989,950,49,3,2,9,13.3,11.2,18,23,21.4,9.0,9.7,10.2,1,1,1,3,3,3,15.14,
1,6,2009,3,5989,950,39,3,1,8.1,10.4,9.3,19,23,20.7,10.9,12.6,11.4,1,1,1,3,3,3,15.16,
2,6,2009,3,5989,950,39,3,1,8,18.1,13.1,19,33,22.7,11.0,14.9,9.6,1,1,1,3,3,3,15.17,
3,6,2009,3,5989,950,39,3,1,12.8,19.8,16.3,16,28,22.7,3.2,8.2,6.4,1,1,1,3,3,3,15.18,
4,6,2009,3,5989,950,49,3,2,12.2,18.2,15.2,18,27,23.0,5.8,8.8,7.8,1,1,1,3,3,3,15.19,
5,6,2009,3,5989,950,39,3,2,12.4,17.2,14.8,20,27,23.4,7.6,9.8,8.6,1,1,1,3,3,3,15.21,
6,6,2009,3,5989,950,49,3,2,12.4,16.4,14.4,19,27,23.3,6.6,10.6,8.9,1,1,1,3,3,3,15.22,
7,6,2009,3,5989,950,49,3,2,11.8,15.9,13.9,19,28,23.4,7.2,12.1,9.5,1,1,1,3,3,3,15.22,
8,6,2009,3,5989,950,39,3,1,11.5,18.9,15.2,18,28,23.3,6.5,9.1,8.1,1,1,1,3,3,3,15.24,
9,6,2009,3,5989,950,39,3,2,11.9,17.7,14.8,19,28,23.7,7.1,10.3,8.9,1,1,1,3,3,3,15.24,
10,6,2009,3,5989,950,39,3,1,12.3,18,15.2,18,27,23.1,5.7,9.0,7.9,1,1,1,3,3,3,15.25,
11,6,2009,3,5989,950,39,3,2,11,18.4,14.7,18,31,23.3,7.0,12.6,8.6,1,1,1,3,3,3,15.26,
12,6,2009,3,5989,950,39,3,2,12,23.1,17.6,18,30,24.7,6.0,6.9,7.1,1,1,1,3,3,3,15.26,
13,6,2009,3,5989,950,39,3,2,15.7,23.9,19.8,19,30,24.6,3.3,6.1,4.8,1,1,1,3,3,3,15.27,
14,6,2009,3,5989,950,49,3,2,17.1,24.9,21,18,31,25.7,0.9,6.1,4.7,1,1,1,3,3,3,15.28,
15,6,2009,3,5989,950,39,3,2,17.6,23.4,20.5,17,31,24.8,-0.6,7.6,4.3,1,1,1,3,3,3,15.28,
16,6,2009,3,5989,950,39,3,1,16.5,23.1,19.8,18,30,24.8,1.5,6.9,5.0,1,1,1,3,3,3,15.29,
17,6,2009,3,5989,950,39,3,2,13.5,21.9,17.7,19,28,24.9,5.5,6.1,7.2,1,1,1,3,3,3,15.29,
18,6,2009,3,5989,950,39,3,1,12.5,26.7,19.6,17,35,24.5,4.5,8.3,4.9,1,1,1,3,3,3,15.29,
19,6,2009,3,5989,950,39,3,1,17.5,23.4,20.5,18,31,24.9,0.5,7.6,4.4,1,1,1,3,3,3,15.29,
20,6,2009,3,5989,950,39,3,2,11.2,18.3,14.8,22,33,24.3,10.8,14.7,9.5,1,1,1,3,3,3,15.29,
21,6,2009,3,5989,950,39,3,1,9,15.8,12.4,16,26,21.6,7.0,10.2,9.2,1,1,1,3,3,3,15.29,
22,6,2009,3,5989,950,49,3,2,6.3,18.4,12.4,17,27,21.3,10.7,8.6,8.9,1,1,1,3,3,3,15.29,
23,6,2009,3,5989,950,49,3,2,7.3,17.3,12.3,18,32,22.8,10.7,14.7,10.5,1,1,1,3,3,3,15.29,
24,6,2009,3,5989,950,49,3,2,8.6,20.9,14.8,19,28,23.2,10.4,7.1,8.4,1,1,1,3,3,3,15.29,
25,6,2009,3,5989,950,39,3,1,13.5,19.1,16.3,19,31,24.3,5.5,11.9,8.0,1,1,1,3,3,3,15.29,
26,6,2009,3,5989,950,39,3,2,12.2,18.4,15.3,21,28,24.6,8.8,9.6,9.3,1,1,1,3,3,3,15.28,
27,6,2009,3,5989,950,,1,2,13.5,19.2,16.4,21,27,24.5,7.5,7.8,8.1,1,1,1,3,3,3,15.28,
28,6,2009,3,5989,950,39,3,2,13.5,23,18.3,17,31,25.3,3.5,8.0,7.0,1,1,1,3,3,3,15.28,
29,6,2009,3,5989,950,39,3,2,15.9,23.3,19.6,21,28,24.3,5.1,4.7,4.7,1,1,1,3,3,3,15.27,
30,6,2009,3,5989,950,39,3,2,15.9,25,20.5,21,30,25.0,5.1,5.0,4.5,1,1,1,3,3,3,15.27,
1,7,2009,3,5989,950,39,3,2,15.9,24.5,20.2,20,33,26.0,4.1,8.5,5.8,1,1,1,3,3,3,15.25,
2,7,2009,3,5989,950,39,3,1,14.7,23.2,19,19,30,24.5,4.3,6.8,5.5,1,1,1,3,3,3,15.25,
3,7,2009,3,5989,950,49,3,2,16,23.5,19.8,20,31,26.0,4.0,7.5,6.2,1,1,1,3,3,3,15.24,
4,7,2009,3,5989,950,49,3,2,16.3,24.4,20.4,21,30,25.8,4.7,5.6,5.4,1,1,1,3,3,3,15.23,
5,7,2009,3,5989,950,49,3,2,14.5,23,18.8,23,31,26.5,8.5,8.0,7.7,1,2,1,3,2,3,15.22,
6,7,2009,3,5989,950,49,3,3,16.3,21.3,18.8,25,30,26.1,8.7,8.7,7.3,2,2,1,2,2,3,15.21,
7,7,2009,3,5989,950,49,3,3,15.9,20.4,18.2,23,30,26.0,7.1,9.6,7.8,2,2,2,2,2,2,15.20,
8,7,2009,3,5989,950,49,3,2,13.6,19.4,16.5,23,32,25.7,9.4,12.6,9.2,1,1,1,3,3,3,15.19,
9,7,2009,3,5989,950,49,3,2,11.6,20.9,16.3,20,28,24.7,8.4,7.1,8.4,2,2,1,2,2,3,15.18,
10,7,2009,3,5989,950,49,3,2,11.6,20,15.8,20,32,24.7,8.4,12.0,8.9,2,2,2,2,2,2,15.16,
11,7,2009,3,5989,950,49,3,2,10.3,20.8,15.6,19,28,23.3,8.7,7.2,7.7,2,2,1,2,2,3,15.15,
12,7,2009,3,5989,950,49,3,2,13.5,21,17.3,20,31,24.4,6.5,10.0,7.1,2,2,1,2,2,3,15.14,
13,7,2009,3,5989,950,49,3,3,13.5,22.8,18.2,22,30,25.9,8.5,7.2,7.7,2,2,2,2,2,2,15.13,
14,7,2009,3,5989,950,49,3,2,16.9,26.9,21.9,22,33,27.5,5.1,6.1,5.6,2,2,2,2,2,2,15.11,
15,7,2009,3,5989,950,49,3,2,17.5,26.5,22,22,34,27.6,4.5,7.5,5.6,1,1,1,3,3,3,15.09,
16,7,2009,3,5989,950,39,3,1,18.3,29.3,23.8,20,36,26.9,1.7,6.7,3.1,1,1,1,3,3,3,15.08,
17,7,2009,3,5989,950,49,3,2,17,25.8,21.4,23,33,28.2,6.0,7.2,6.8,1,1,1,3,3,3,15.06,
18,7,2009,3,5989,950,49,3,2,11.1,19.1,15.1,20,35,25.6,8.9,15.9,10.5,1,2,1,3,2,3,15.04,
19,7,2009,3,5989,950,49,3,3,13.6,21.1,17.4,19,29,24.7,5.4,7.9,7.3,2,2,1,2,2,3,15.02,
20,7,2009,3,5989,950,49,3,2,13.5,20.9,17.2,21,36,25.9,7.5,15.1,8.7,2,2,2,2,2,2,15.00,
21,7,2009,3,5989,950,,1,2,13.9,24,19,20,31,25.2,6.1,7.0,6.2,2,1,1,2,3,3,14.58,
22,7,2009,3,5989,950,49,3,3,16.3,25.4,20.9,21,33,28.2,4.7,7.6,7.3,2,2,1,2,2,3,14.57,
23,7,2009,3,5989,950,49,3,1,19.6,28.4,24,21,35,27.6,1.4,6.6,3.6,1,1,1,3,3,3,14.55,
24,7,2009,3,5989,950,39,3,1,17.4,25.5,21.5,19,33,25.9,1.6,7.5,4.4,1,1,1,3,3,3,14.53,
25,7,2009,3,5989,950,,1,2,15.4,25.8,20.6,23,32,26.7,7.6,6.2,6.1,2,2,1,2,2,3,14.51,
26,7,2009,3,5989,950,49,3,2,14.3,25.4,19.9,20,32,26.1,5.7,6.6,6.2,1,2,1,3,2,3,14.49,
27,7,2009,3,5989,950,49,3,2,16.3,26.5,21.4,20,37,28.3,3.7,10.5,6.9,2,2,1,2,2,3,14.47,
28,7,2009,3,5989,950,49,3,1,18.2,25.8,22,20,37,26.3,1.8,11.2,4.3,1,1,1,3,3,3,14.44,
29,7,2009,3,5989,950,49,3,1,16.6,30,23.3,19,33,26.1,2.4,3.0,2.8,1,1,1,3,3,3,14.42,
30,7,2009,3,5989,950,49,3,1,18.3,28.6,23.5,20,40,27.9,1.7,11.4,4.4,1,1,1,3,3,3,14.40,
31,7,2009,3,5989,950,49,3,,19.4,28.4,23.9,20,37,29.1,0.6,8.6,5.2,2,2,1,2,2,3,14.38,
1,8,2009,3,5989,950,49,3,3,19.2,27.2,23.2,22,34,27.3,2.8,6.8,4.1,2,1,1,2,3,3,14.36,
2,8,2009,3,5989,950,49,3,2,18.3,25.2,21.8,18,33,26.5,-0.3,7.8,4.7,2,2,1,2,2,3,14.33,
3,8,2009,3,5989,950,49,3,2,14.7,19.9,17.3,23,28,25.7,8.3,8.1,8.4,1,1,1,3,3,3,14.31,
4,8,2009,3,5989,950,49,3,2,13.3,23.2,18.3,19,39,25.8,5.7,15.8,7.5,1,1,1,3,3,3,14.29,
5,8,2009,3,5989,950,49,3,2,14.8,25.7,20.3,18,34,25.5,3.2,8.3,5.2,1,1,1,3,3,3,14.27,
6,8,2009,3,5989,950,49,3,2,16,27.1,21.6,19,34,26.2,3.0,6.9,4.6,1,1,1,3,3,3,14.23,
7,8,2009,3,5989,950,49,3,2,17.2,26.9,22.1,20,34,26.6,2.8,7.1,4.5,1,1,1,3,3,3,14.21,
8,8,2009,3,5989,950,39,3,2,15.1,26.5,20.8,18,35,26.7,2.9,8.5,5.9,1,1,1,3,3,3,14.19,
9,8,2009,3,5989,950,39,3,2,14.3,24,19.2,21,29,24.7,6.7,5.0,5.5,1,1,1,3,3,3,14.16,
10,8,2009,3,5989,950,49,3,2,16.6,24.1,20.4,21,33,26.5,4.4,8.9,6.1,2,2,1,3,2,3,14.14,
11,8,2009,3,5989,950,39,3,2,15.1,24.3,19.7,22,32,26.1,6.9,7.7,6.4,1,1,1,3,3,3,14.11,
12,8,2009,3,5989,950,39,3,2,16.8,27.9,22.4,20,32,26.4,3.2,4.1,4.0,1,1,1,3,3,3,14.09,
13,8,2009,3,5989,950,39,3,2,18.7,26.5,22.6,21,32,26.7,2.3,5.5,4.1,1,1,1,3,3,3,14.06,
14,8,2009,3,5989,950,49,3,2,17.4,27,22.2,19,35,27.3,1.6,8.0,5.1,1,1,1,3,3,3,14.03,
15,8,2009,3,5989,950,49,3,1,17.4,28.2,22.8,20,32,26.5,2.6,3.8,3.7,1,1,1,3,3,3,14.00,
16,8,2009,3,5989,950,39,3,2,18.8,28.2,23.5,20,33,26.6,1.2,4.8,3.1,1,1,1,3,3,3,13.58,
17,8,2009,3,5989,950,39,3,1,17.9,28,23,21,34,26.7,3.1,6.0,3.7,1,1,1,3,3,3,13.55,
18,8,2009,3,5989,950,39,3,2,20.1,29.6,24.9,20,34,26.4,-0.1,4.4,1.5,1,1,1,3,3,3,13.52,
19,8,2009,3,5989,950,39,3,2,21.5,30.9,26.2,20,35,27.7,-1.5,4.1,1.5,1,1,1,3,3,3,13.50,
20,8,2009,3,5989,950,39,3,1,20.1,31.5,25.8,20,34,26.9,-0.1,2.5,1.1,1,1,1,3,3,3,13.47,
21,8,2009,3,5989,950,39,3,2,21.3,29.8,25.6,20,34,27.2,-1.3,4.2,1.6,1,1,1,3,3,3,13.44,
22,8,2009,3,5989,950,39,3,1,18.9,27.8,23.4,20,37,28.0,1.1,9.2,4.6,1,1,1,3,3,3,13.41,
23,8,2009,3,5989,950,39,3,2,15.1,26.3,20.7,21,32,26.7,5.9,5.7,6.0,1,1,1,3,3,3,13.38,
24,8,2009,3,5989,950,39,3,1,13.5,26.1,19.8,19,31,25.7,5.5,4.9,5.9,1,1,1,3,3,3,13.36,
25,8,2009,3,5989,950,49,3,1,15.9,27.1,21.5,21,38,27.5,5.1,10.9,6.0,1,1,1,3,3,3,13.33,
26,8,2009,3,5989,950,39,3,2,18.3,27.1,22.7,21,32,27.4,2.7,4.9,4.7,1,1,1,3,3,3,13.30,
27,8,2009,3,5989,950,39,3,1,16.3,27.9,22.1,22,35,27.4,5.7,7.1,5.3,1,1,1,3,3,3,13.28,
28,8,2009,3,5989,950,39,3,2,19.7,27.9,23.8,21,32,26.8,1.3,4.1,3.0,1,1,1,3,3,3,13.24,
29,8,2009,3,5989,950,49,3,1,16.1,24.6,20.4,20,34,26.6,3.9,9.4,6.2,1,1,1,3,3,3,13.21,
30,8,2009,3,5989,950,39,3,1,12.5,18.3,15.4,21,26,24.1,8.5,7.7,8.7,1,1,1,3,3,3,13.18,
31,8,2009,3,5989,950,39,3,1,11.6,24.2,17.9,18,30,24.6,6.4,5.8,6.7,1,1,1,3,3,3,13.16,
1,9,2009,4,5989,950,39,3,1,16.3,25.9,21.1,19,32,25.5,2.7,6.1,4.4,1,1,1,3,3,3,13.13,
2,9,2009,4,5989,950,39,3,1,15.9,23.6,19.8,19,32,25.4,3.1,8.4,5.6,1,1,1,3,3,3,13.10,
3,9,2009,4,5989,950,39,3,1,16.6,22.5,19.6,22,31,27.1,5.4,8.5,7.5,1,1,1,3,3,3,13.07,
4,9,2009,4,5989,950,39,3,1,16,20.7,18.4,24,30,26.6,8.0,9.3,8.2,1,1,1,3,3,3,13.03,
5,9,2009,4,5989,950,39,3,1,13.4,23.2,18.3,21,30,25.4,7.6,6.8,7.1,1,1,1,3,3,3,13.01,
6,9,2009,4,5989,950,39,3,1,9.5,19.4,14.5,17,28,22.1,7.5,8.6,7.6,1,1,1,3,3,3,12.58,
7,9,2009,4,5989,950,39,3,1,9.5,19.5,14.5,15,27,20.7,5.5,7.5,6.2,1,1,1,3,3,3,12.55,
8,9,2009,4,5989,950,39,3,1,9.9,19.8,14.9,15,29,21.0,5.1,9.2,6.1,1,1,1,3,3,3,12.52,
9,9,2009,4,5989,950,39,3,1,9.9,18.2,14.1,16,26,22.1,6.1,7.8,8.0,1,1,1,3,3,3,12.49,
10,9,2009,4,5989,950,39,3,1,10.5,19.5,15,17,30,23.3,6.5,10.5,8.3,1,1,1,3,3,3,12.47,
11,9,2009,4,5989,950,39,3,1,11.1,21.3,16.2,18,29,22.5,6.9,7.7,6.3,1,1,1,3,3,3,12.44,
12,9,2009,4,5989,950,39,3,2,11.3,19.9,15.6,19,27,23.2,7.7,7.1,7.6,1,1,1,3,3,3,12.40,
13,9,2009,4,5989,950,39,3,1,11.4,21.3,16.4,17,28,21.9,5.6,6.7,5.5,1,1,1,3,3,3,12.37,
14,9,2009,4,5989,950,39,3,1,9.5,15,12.3,19,22,19.9,9.5,7.0,7.6,1,1,1,3,3,3,12.34,
15,9,2009,4,5989,950,39,3,2,10,15,12.5,20,26,22.2,10.0,11.0,9.7,1,1,1,3,3,3,12.31,
16,9,2009,4,5989,950,49,3,1,12.7,15.2,14,20,24,22.0,7.3,8.8,8.0,1,1,1,3,3,3,12.28,
17,9,2009,4,5989,950,39,3,2,12.5,16.9,14.7,20,26,22.4,7.5,9.1,7.7,1,1,1,3,3,3,12.26,
18,9,2009,4,5989,950,39,3,1,11.9,19.5,15.7,21,31,24.2,9.1,11.5,8.5,1,1,1,3,3,3,12.23,
19,9,2009,4,5989,950,39,3,2,13.5,21.1,17.3,19,26,22.4,5.5,4.9,5.1,1,1,1,3,3,3,12.19,
20,9,2009,4,5989,950,39,3,1,11.2,19.9,15.6,17,27,21.3,5.8,7.1,5.7,1,1,1,3,3,3,12.16,
21,9,2009,4,5989,950,39,3,1,11,15.3,13.2,20,24,21.8,9.0,8.7,8.6,1,1,1,3,3,3,12.13,
22,9,2009,4,5989,950,39,3,1,12.4,20.2,16.3,18,26,22.0,5.6,5.8,5.7,1,1,1,3,3,3,12.10,
23,9,2009,4,5989,950,39,3,1,12.4,20.8,16.6,16,26,21.1,3.6,5.2,4.5,1,1,1,3,3,3,12.07,
24,9,2009,4,5989,950,39,3,1,12.3,21.3,16.8,16,26,20.8,3.7,4.7,4.0,1,1,1,3,3,3,12.05,
25,9,2009,4,5989,950,39,3,1,11.9,19.7,15.8,15,26,20.7,3.1,6.3,4.9,1,1,1,3,3,3,12.02,
26,9,2009,4,5989,950,39,3,1,11.5,19,15.3,16,25,21.0,4.5,6.0,5.7,1,1,1,3,3,3,11.58,
27,9,2009,4,5989,950,39,3,1,11,18.8,14.9,16,25,20.2,5.0,6.2,5.3,1,1,1,3,3,3,11.55,
28,9,2009,4,5989,950,39,3,1,11.6,20.4,16,16,26,20.7,4.4,5.6,4.7,1,1,1,3,3,3,11.52,
29,9,2009,4,5989,950,39,3,1,13.9,20.5,17.2,15,30,21.2,1.1,9.5,4.0,1,1,1,3,3,3,11.49,
30,9,2009,4,5989,950,39,3,1,12.9,19.3,16.1,16,26,21.0,3.1,6.7,4.9,1,1,1,3,3,3,11.47,
1,10,2009,4,5989,950,48,2,2,12.6,16.6,14.6,16,25,20.9,3.4,8.4,6.3,2,2,1,2,2,3,11.44,
2,10,2009,4,5989,950,48,2,2,12,19.7,15.9,17,26,21.4,5.0,6.3,5.5,1,2,1,3,2,3,11.40,
3,10,2009,4,5989,950,39,3,1,10.4,17.6,14,16,24,19.1,5.6,6.4,5.1,1,1,1,3,3,3,11.37,
4,10,2009,4,5989,950,39,3,1,11.6,18.1,14.9,14,31,20.7,2.4,12.9,5.8,1,1,1,3,3,3,11.34,
5,10,2009,4,5989,950,39,3,1,11.4,17.7,14.6,17,25,21.5,5.6,7.3,6.9,1,1,1,3,3,3,11.32,
6,10,2009,4,5989,950,39,3,2,12.3,14.8,13.6,17,25,20.8,4.7,10.2,7.2,1,1,1,3,3,3,11.29,
7,10,2009,4,5989,950,39,3,1,12.3,17.4,14.9,16,26,20.7,3.7,8.6,5.8,1,1,1,3,3,3,11.25,
8,10,2009,4,5989,950,39,3,1,14.2,20.7,17.5,15,26,20.6,0.8,5.3,3.1,1,1,1,3,3,3,11.22,
